stn_id,stn_name,stn_lat,stn_lon,open_status,opening_month,opening_month_num,opening_year,closing_month,closing_month_num,closing_year,duration_days,borough,puma_id,puma_name,cd_name,ct2010
444,Broadway & W 24 St,40.7423543,-73.9891508,0,June,6,2013,October,10,2017,1611,Manhattan,3807,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,36061005800
475,E 16 St & Irving Pl,40.7352428,-73.9875856,0,June,6,2013,February,2,2017,1369,Manhattan,3808,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,36061005e3
2008,Little West St & 1 Pl,40.7056925,-74.0167769,1,June,6,2013,NA,NA,NA,1976,Manhattan,3810,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,36061031704
285,Broadway & E 14 St,40.7345457,-73.9907414,1,June,6,2013,NA,NA,NA,1976,Manhattan,3810,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,36061006100
509,9 Ave & W 22 St,40.7454973,-74.0019714,1,June,6,2013,NA,NA,NA,1976,Manhattan,3807,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,36061008900
265,Stanton St & Chrystie St,40.7222935,-73.9914754,1,June,6,2013,NA,NA,NA,1976,Manhattan,3809,Chinatown & Lower East Side,Lower East Side/Chinatown,36061003601
404,9 Ave & W 14 St,40.7405826,-74.0055087,0,June,6,2013,August,8,2015,819,Manhattan,3810,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,36061007900
423,W 54 St & 9 Ave,40.7658494,-73.9869051,1,June,6,2013,NA,NA,NA,1976,Manhattan,3807,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,36061013300
241,DeKalb Ave & S Portland Ave,40.6898104,-73.9749312,1,June,6,2013,NA,NA,NA,1976,Brooklyn,4004,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,36047003100
527,E 33 St & 2 Ave,40.744023,-73.976056,0,June,6,2013,June,6,2018,1854,Manhattan,3808,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,36061007e3
309,Murray St & West St,40.7149787,-74.013012,1,June,6,2013,NA,NA,NA,1976,Manhattan,3810,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,36061002100
