date,station,full_fare,reduced_fare
2012-05-26,103RD ST-CENTRAL PARK WEST,23965,1057
2012-05-26,103RD ST-ROOSEVELT AVE,102340,1611
2012-05-26,103RD STREET-BROADWAY,70761,4094
2012-05-26,103RD STREET-LEXINGTON AVE,77848,2781
2012-05-26,104TH STREET,12519,314
2012-05-26,104TH STREET-LIBERTY AVENUE,8292,216
2012-05-26,109TH STREET-LIBERTY AVENUE,11749,269
2012-05-26,110TH STREET-8TH AVENUE,37567,1420
2012-05-26,110TH STREET-BROADWAY,72336,3616
2012-05-26,110TH STREET-LEXINGTON AVE,61629,2194
2012-05-26,111TH STREET,11143,292
2012-05-26,111TH STREET-LENOX AVENUE,45778,1487
2012-05-26,111TH STREET-ROOSEVELT AVE,59153,1153
2012-05-26,116TH STREET-8TH AVENUE,31808,856
2012-05-26,116TH STREET-COLUMBIA,63618,2121
2012-05-26,116TH STREET-LENOX AVENUE,57201,1803
2012-05-26,116TH STREET-LEXINGTON AVE,84081,2709
2012-05-26,121ST STREET,10377,257
2012-05-26,125TH STREET,135437,4397
2012-05-26,125TH STREET & BROADWAY,41344,1487
2012-05-26,125TH STREET-LENOX AVENUE,74180,2756
2012-05-26,125TH STREET-LEXINGTON AVE,135026,5004
2012-05-26,135TH STREET-LENOX AVENUE,71043,3116
2012-05-26,135TH STREET-ST NICHOLAS AV,23631,741
2012-05-26,137TH STREET-BROADWAY,73374,2033
2012-05-26,138TH ST-GRAND CONCOURSE,15034,368
2012-05-26,138TH STREET-3RD AVE,35115,959
2012-05-26,145TH STREET,112105,2697
2012-05-26,145TH STREET-BROADWAY,54707,1706
2012-05-26,145TH STREET-LENOX AVENUE,15785,765
2012-05-26,148TH STREET-LENOX AVENUE,16971,720
2012-05-26,149TH ST-GRAND CONCOURSE,54634,1482
2012-05-26,149TH STREET & 3RD AVENUE,107194,3085
2012-05-26,14TH STREET & 7TH AVENUE,129726,5664
2012-05-26,14TH STREET-6TH AVENUE,123225,3389
2012-05-26,14TH STREET-UNION SQUARE,565820,15466
2012-05-26,155TH STREET-8TH AVENUE,19847,854
2012-05-26,155TH STREET-ST NICHOLAS AV,12840,563
2012-05-26,157TH STREET-BROADWAY,55305,2013
2012-05-26,15TH ST-PROSPECT PARK WEST,31923,960
2012-05-26,161ST STREET-YANKEE STADIUM,110814,3801
2012-05-26,163RD ST & AMSTERDAM AVE,20054,636
2012-05-26,167TH ST-GRAND CONCOURSE,48495,1032
2012-05-26,167TH STREET-RIVER AVENUE,47901,1032
2012-05-26,168TH STREET & BROADWAY,120690,4319
2012-05-26,169TH STREET & HILLSIDE AVE,39988,1432
2012-05-26,170TH STREET-GRAND CONC.,31892,894
2012-05-26,170TH STREET-JEROME AVENUE,46201,1136
2012-05-26,174TH STREET-SOUTHERN BLVD,32418,896
2012-05-26,174TH-175TH ST-GRAND CONCOU,24280,725
2012-05-26,175TH STREET/FT WASHINGTON,64623,2417
2012-05-26,176TH STREET-JEROME AVENUE,28467,743
2012-05-26,177TH STREET-PARKCHESTER,70381,2297
2012-05-26,179TH STREET & HILLSIDE AVE,77862,2797
2012-05-26,181ST STREET-FT WASH AVE,52187,2213
2012-05-26,181ST STREET-ST NICHOLAS AV,52868,1969
2012-05-26,182ND STREET-183RD STREET,23227,635
2012-05-26,183RD STREET-JEROME AVENUE,32802,679
2012-05-26,18TH AVE-MCDONALD AVE,19913,982
2012-05-26,18TH AVENUE-62ND STREET,27024,1326
2012-05-26,18TH AVENUE-86TH STREET,27234,1165
2012-05-26,18TH STREET-7TH AVENUE,39703,1555
2012-05-26,190TH STREET-OVERLOOK TERR,25209,1212
2012-05-26,191ST STREET-ST NICHOLAS AV,39685,1667
2012-05-26,1ST AVENUE-14TH STREET,120040,3055
2012-05-26,205TH ST-BAINBRIDGE AVE,36841,1078
2012-05-26,207TH STREET,37277,1230
2012-05-26,207TH STREET-BROADWAY,41045,1658
