station_id,complex_id,GTFS_stopid,stop_name,stop_lat,stop_lon,faredata_name,subway_lines,borough
293,293,101,Van Cortlandt Park - 242 St,40.889248,-73.898583,242ND STREET & BROADWAY,1,Bronx
294,294,103,238 St,40.884667,-73.90087,238TH STREET-BROADWAY,1,Bronx
295,295,104,231 St,40.878856,-73.904834,231ST STREET,1,Bronx
296,296,106,Marble Hill - 225 St,40.874561,-73.909831,225TH STREET,1,Manhattan
297,297,107,215 St,40.869444,-73.915279,215TH STREET,1,Manhattan
298,298,108,207 St,40.864621,-73.918822,207TH STREET,1,Manhattan
299,299,109,Dyckman St,40.860531,-73.925536,DYCKMAN STREET,1,Manhattan
300,300,110,191 St,40.855225,-73.929412,191ST STREET-ST NICHOLAS AV,1,Manhattan
301,301,111,181 St,40.849505,-73.933596,181ST STREET-ST NICHOLAS AV,1,Manhattan
302,605,112,168 St - Washington Hts,40.840556,-73.940133,168TH STREET & BROADWAY,1,Manhattan
303,303,113,157 St,40.834041,-73.94489,157TH STREET-BROADWAY,1,Manhattan
304,304,114,145 St,40.826551,-73.95036,145TH STREET-BROADWAY,1,Manhattan
305,305,115,137 St - City College,40.822008,-73.953676,137TH STREET-BROADWAY,1,Manhattan
306,306,116,125 St,40.815581,-73.958372,125TH STREET & BROADWAY,1,Manhattan
307,307,117,116 St - Columbia University,40.807722,-73.96411,116TH STREET-COLUMBIA,1,Manhattan
308,308,118,Cathedral Pkwy,40.803967,-73.966847,110TH STREET-BROADWAY,1,Manhattan
309,309,119,103 St,40.799446,-73.968379,103RD STREET-BROADWAY,1,Manhattan
310,310,120,96 St,40.793919,-73.972323,96TH STREET-BROADWAY,1 2 3,Manhattan
311,311,121,86 St,40.788644,-73.976218,86TH STREET-BROADWAY,1,Manhattan
312,312,122,79 St,40.783934,-73.979917,79TH STREET-BROADWAY,1,Manhattan
313,313,123,72 St,40.778453,-73.98197,72ND STREET & BROADWAY,1 2 3,Manhattan
314,314,124,66 St - Lincoln Center,40.77344,-73.982209,66TH STREET-BROADWAY,1,Manhattan
315,614,125,59 St - Columbus Circle,40.768247,-73.981929,59TH STREET/COLUMBUS CIRCLE,1,Manhattan
316,316,126,50 St,40.761728,-73.983849,50TH STREET & 7TH AVENUE,1,Manhattan
317,611,127,Times Sq - 42 St,40.75529,-73.987495,42ND STREET/TIMES SQUARE,1 2 3,Manhattan
318,318,128,34 St - Penn Station,40.750373,-73.991057,34TH STREET - PENN STATION,1 2 3,Manhattan
319,319,129,28 St,40.747215,-73.993365,28TH STREET-7TH AVENUE,1,Manhattan
320,320,130,23 St,40.744081,-73.995657,23RD STREET-7TH AVENUE,1,Manhattan
321,321,131,18 St,40.74104,-73.997871,18TH STREET-7TH AVENUE,1,Manhattan
322,601,132,14 St,40.737826,-74.000201,14TH STREET & 7TH AVENUE,1 2 3,Manhattan
323,323,133,Christopher St - Sheridan Sq,40.733422,-74.002906,CHRISTOPHER ST-SHERIDAN SQ,1,Manhattan
324,324,134,Houston St,40.728251,-74.005367,HOUSTON STREET-VARICK ST,1,Manhattan
325,325,135,Canal St,40.722854,-74.006277,CANAL STREET-VARICK STREET,1,Manhattan
326,326,136,Franklin St,40.719318,-74.006886,FRANKLIN STREET-WEST BWAY,1,Manhattan
327,327,137,Chambers St,40.715478,-74.009266,CHAMBERS STREET,1 2 3,Manhattan
328,328,138,WTC Cortlandt,40.711835,-74.012188,WTC-CORTLANDT ST,1,Manhattan
329,329,139,Rector St,40.707513,-74.013783,RECTOR STREET-GREENWICH ST,1,Manhattan
330,635,142,South Ferry,40.702068,-74.013664,SOUTH FERRY,1,Manhattan
416,416,201,Wakefield - 241 St,40.903125,-73.85062,241ST ST-WHITE PLAINS RD,2,Bronx
417,417,204,Nereid Av,40.898379,-73.854376,238TH ST-WHITE PLAINS ROAD,2 5,Bronx
418,418,205,233 St,40.893193,-73.857473,233RD ST-WHITE PLAINS ROAD,2 5,Bronx
419,419,206,225 St,40.888022,-73.860341,225TH ST-WHITE PLAINS ROAD,2 5,Bronx
420,420,207,219 St,40.883895,-73.862633,219TH ST-WHITE PLAINS ROAD,2 5,Bronx
421,421,208,Gun Hill Rd,40.87785,-73.866256,GUNHILL RD-WHITE PLAINS RD,2 5,Bronx
422,422,209,Burke Av,40.871356,-73.867164,BURKE AVE-WHITE PLAINS ROAD,2 5,Bronx
423,423,210,Allerton Av,40.865462,-73.867352,ALLERTON AV-WHITE PLAINS RD,2 5,Bronx
424,424,211,Pelham Pkwy,40.857192,-73.867615,PELHAM PKWY-WHITE PLAINS RD,2 5,Bronx
425,425,212,Bronx Park East,40.848828,-73.868457,BRONX PARK EAST,2 5,Bronx
426,426,213,E 180 St,40.841894,-73.873488,EAST 180TH ST-MORRIS PARK,2 5,Bronx
427,427,214,West Farms Sq - E Tremont Av,40.840295,-73.880049,EAST TREMONT AVENUE-178 ST,2 5,Bronx
428,428,215,174 St,40.837288,-73.887734,174TH STREET-SOUTHERN BLVD,2 5,Bronx
429,429,216,Freeman St,40.829993,-73.891865,FREEMAN ST-SOUTHERN BLVD,2 5,Bronx
430,430,217,Simpson St,40.824073,-73.893064,SIMPSON ST-WESTCHESTER AVE,2 5,Bronx
431,431,218,Intervale Av,40.822181,-73.896736,INTERVALE 163RD STREET,2 5,Bronx
432,432,219,Prospect Av,40.819585,-73.90177,PROSPECT AVENUE-WESTCHESTER,2 5,Bronx
433,433,220,Jackson Av,40.81649,-73.907807,JACKSON AVENUE-WESTCHESTER,2 5,Bronx
434,434,221,3 Av - 149 St,40.816109,-73.917757,149TH STREET & 3RD AVENUE,2 5,Bronx
435,603,222,149 St - Grand Concourse,40.81841,-73.926718,149TH ST-GRAND CONCOURSE,2 5,Bronx
438,438,224,135 St,40.814229,-73.94077,135TH STREET-LENOX AVENUE,2 3,Manhattan
439,439,225,125 St,40.807754,-73.945495,125TH STREET-LENOX AVENUE,2 3,Manhattan
440,440,226,116 St,40.802098,-73.949625,116TH STREET-LENOX AVENUE,2 3,Manhattan
441,441,227,Central Park North (110 St),40.799075,-73.951822,111TH STREET-LENOX AVENUE,2 3,Manhattan
331,624,228,Park Pl,40.713051,-74.008811,PARK PLACE,2 3,Manhattan
332,628,229,Fulton St,40.709416,-74.006571,FULTON & WILLIAM STREETS,2 3,Manhattan
333,333,230,Wall St,40.706821,-74.0091,WALL STREET,2 3,Manhattan
334,334,231,Clark St,40.697466,-73.993086,CLARK STREET-HENRY STREET,2 3,Brooklyn
335,620,232,Borough Hall,40.693219,-73.989998,BOROUGH HALL - COURT STREET,2 3,Brooklyn
336,336,233,Hoyt St,40.690545,-73.985065,HOYT STREET-FULTON STREET,2 3,Brooklyn
337,337,234,Nevins St,40.688246,-73.980492,NEVINS STREET,2 3 4 5,Brooklyn
338,617,235,Atlantic Av - Barclays Ctr,40.684359,-73.977666,ATLANTIC AVENUE,2 3,Brooklyn
339,339,236,Bergen St,40.680829,-73.975098,BERGEN STREET,2 3,Brooklyn
340,340,237,Grand Army Plaza,40.675235,-73.971046,GRAND ARMY PLAZA,2 3,Brooklyn
341,341,238,Eastern Pkwy - Brooklyn Museum,40.671987,-73.964375,EASTERN PARKWAY,2 3,Brooklyn
342,626,239,Franklin Av,40.670682,-73.958131,FRANKLIN AVE/EASTERN PKWY,2 3 4 5,Brooklyn
353,353,241,President St,40.667883,-73.950683,PRESIDENT ST-NOSTRAND AVE,2 5,Brooklyn
354,354,242,Sterling St,40.662742,-73.95085,STERLING ST-NOSTRAND AVE,2 5,Brooklyn
355,355,243,Winthrop St,40.656652,-73.9502,WINTHROP ST-NOSTRAND AVE,2 5,Brooklyn
356,356,244,Church Av,40.650843,-73.949575,CHURCH AVENUE & NOSTRAND AV,2 5,Brooklyn
357,357,245,Beverly Rd,40.645098,-73.948959,BEVERLY RD-NOSTRAND AVE,2 5,Brooklyn
358,358,246,Newkirk Av,40.639967,-73.948411,NEWKIRK AVE-NOSTRAND AVE,2 5,Brooklyn
359,359,247,Flatbush Av - Brooklyn College,40.632836,-73.947642,FLATBUSH AVE & NOSTRAND AV,2 5,Brooklyn
343,343,248,Nostrand Av,40.669847,-73.950466,NOSTRAND AVENUE,3,Brooklyn
344,344,249,Kingston Av,40.669399,-73.942161,KINGSTON AVE/EASTERN PKWY,3,Brooklyn
345,345,250,Crown Hts - Utica Av,40.668897,-73.932942,UTICA AVENUE,3 4,Brooklyn
346,346,251,Sutter Av - Rutland Rd,40.664717,-73.92261,SUTTER AVENUE,3,Brooklyn
347,347,252,Saratoga Av,40.661453,-73.916327,SARATOGA AVENUE,3,Brooklyn
348,348,253,Rockaway Av,40.662549,-73.908946,ROCKAWAY AVENUE,3,Brooklyn
349,349,254,Junius St,40.663515,-73.902447,JUNIUS STREET,3,Brooklyn
350,350,255,Pennsylvania Av,40.664635,-73.894895,PENNSYLVANIA AVENUE,3,Brooklyn
351,351,256,Van Siclen Av,40.665449,-73.889395,VAN SICLEN AVENUE,3,Brooklyn
352,352,257,New Lots Av,40.666235,-73.884079,NEW LOTS AVENUE,3,Brooklyn
436,436,301,Harlem - 148 St,40.82388,-73.93647,148TH STREET-LENOX AVENUE,3,Manhattan
437,437,302,145 St,40.820421,-73.936245,145TH STREET-LENOX AVENUE,3,Manhattan
378,378,401,Woodlawn,40.886037,-73.878751,WOODLAWN ROAD,4,Bronx
379,379,402,Mosholu Pkwy,40.87975,-73.884655,MOSHOLU PARKWAY-JEROME AVE,4,Bronx
